ルールID,対象カテゴリ,対象チャネル種別,借方勘定科目,貸方勘定科目,税区分,摘要テンプレート
AR001,食品,EC,売掛金,売上高,軽減税率(8%),{チャネル}売上 {商品名} 軽減税率
AR002,食品,実店舗,現金・預金,売上高,軽減税率(8%),店舗売上 {商品名} 軽減税率
AR003,食品,卸売,売掛金,売上高,軽減税率(8%),卸売売上 {商品名} 軽減税率
AR004,キッチン用品,EC,売掛金,売上高,標準税率(10%),{チャネル}売上 {商品名}
AR005,キッチン用品,実店舗,現金・預金,売上高,標準税率(10%),店舗売上 {商品名}
AR006,日用品,EC,売掛金,売上高,標準税率(10%),{チャネル}売上 {商品名}
AR007,日用品,実店舗,現金・預金,売上高,標準税率(10%),店舗売上 {商品名}
AR008,雑貨,EC,売掛金,売上高,標準税率(10%),{チャネル}売上 {商品名}
AR009,ギフト用品,EC,売掛金,売上高,標準税率(10%),{チャネル}ギフト売上 {商品名}
AR010,ギフト用品,卸売,売掛金,売上高,標準税率(10%),卸売ギフト売上 {商品名}
AR011,食器・雑貨,EC,売掛金,売上高,標準税率(10%),{チャネル}売上 {商品名}
AR012,文具・雑貨,EC,売掛金,売上高,標準税率(10%),{チャネル}売上 {商品名}
